The data shown here is provided by Statistics Canada from the 2016 Census as a custom data order for the City of Vancouver using the City's 22 local planning areas,,,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2016, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2016,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
2352,  Total - Mobility status 1 year ago for females - 25% sample data,8200,27750,10925,17665,14715,17240,24785,7380,15160,22595,12240,16340,7000,26020,11540,4125,4000,4610,18175,15465,22060,6740,313890,1229485
2353,    Non-movers,6935,20850,9455,14240,12180,15155,21205,6290,13310,18005,10070,12780,6050,22365,9775,3545,3345,3750,15405,13640,16450,5640,259705,1037160
2354,    Movers,1260,6905,1470,3420,2530,2090,3580,1090,1845,4590,2175,3560,950,3650,1770,580,650,865,2770,1825,5605,1100,54185,192320
2355,      Non-migrants,760,3540,815,2100,1740,1345,2400,695,1155,2770,1285,2425,545,2165,1200,360,460,640,1785,1145,2985,650,32885,105485
2356,      Migrants,495,3365,660,1315,790,745,1180,395,695,1820,885,1140,410,1485,565,220,190,220,990,685,2620,450,21300,86835
2357,        Internal migrants,205,1725,340,960,590,445,705,150,435,1175,520,805,190,745,345,95,100,170,485,300,1315,215,12020,59360
2358,          Intraprovincial migrants,130,1025,175,590,405,350,435,115,305,620,360,490,135,590,220,65,45,105,390,230,710,130,7600,47700
2359,          Interprovincial migrants,80,700,160,365,185,100,270,35,135,555,160,315,55,155,130,25,60,65,95,75,610,85,4420,11655
2360,        External migrants,290,1640,320,360,205,300,475,250,250,645,360,330,225,740,220,125,85,50,500,380,1305,230,9285,27475
,,,,,,,,,,,,,,,,,,,,,,,,,
2361,Total - Mobility status 5 years ago - 25% sample data,14665,56860,20655,31435,27740,32565,46255,13450,27490,41030,23135,30700,12535,49160,21240,7710,7205,9530,34455,29030,45725,12485,593475,2310250
2362,  Non-movers,8135,20420,13460,14280,14485,21130,27590,8070,17680,18710,12780,11485,7080,30655,12565,4570,3860,5150,20615,19145,17975,7420,316195,1298680
2363,  Movers,6530,36435,7200,17155,13255,11435,18665,5380,9810,22320,10360,19215,5455,18505,8675,3145,3350,4380,13840,9880,27750,5065,277280,1011565
2364,    Non-migrants,3330,17405,3635,9375,8295,6900,11855,2980,6165,11120,5540,11830,3125,10530,5315,1985,1900,2970,8275,6540,11790,2440,152990,516525
2365,    Migrants,3195,19030,3560,7775,4965,4535,6810,2395,3640,11200,4815,7385,2330,7980,3365,1155,1450,1410,5565,3345,15960,2620,124290,495040
2366,      Internal migrants,1020,10505,1410,5435,3545,2785,3685,865,1905,6885,2380,5125,870,3635,2055,360,865,945,2060,1455,8020,1110,66785,309040
2367,        Intraprovincial migrants,695,6415,875,3170,2180,2130,2180,570,1430,3585,1650,2970,615,2625,1260,265,600,610,1495,1140,4340,580,41260,246845
2368,        Interprovincial migrants,320,4095,535,2270,1360,655,1500,300,480,3300,730,2160,250,1015,795,95,265,335,565,310,3685,530,25530,62190
2369,      External migrants,2180,8520,2155,2335,1420,1750,3120,1530,1740,4310,2430,2260,1460,4340,1305,795,585,470,3500,1890,7940,1510,57500,186000
2370,  Total - Mobility status 5 years ago for males - 25% sample data,6645,29780,9955,14260,13545,15875,22450,6220,12890,19040,11210,14955,5755,23955,10070,3680,3345,5055,16845,14065,24030,5905,288770,1125645
2371,    Non-movers,3665,10675,6555,6345,6960,10245,13480,3725,8330,8665,6140,5610,3165,15195,5950,2155,1740,2740,9940,9270,9745,3490,153260,632380
2372,    Movers,2975,19105,3400,7910,6585,5630,8975,2500,4555,10365,5075,9345,2595,8750,4125,1525,1605,2305,6900,4795,14285,2415,135510,493260
2373,      Non-migrants,1530,9275,1725,4415,4170,3400,5610,1365,2880,5270,2720,5840,1465,4885,2525,995,915,1560,4000,3175,6065,1130,74775,251580
2374,      Migrants,1440,9825,1675,3500,2420,2230,3365,1135,1680,5105,2355,3510,1130,3870,1595,530,690,750,2905,1620,8220,1295,60740,241675
2375,        Internal migrants,465,5505,640,2410,1700,1400,1790,430,870,3060,1195,2425,420,1790,985,165,380,510,1085,725,4130,540,32585,151835
2376,          Intraprovincial migrants,325,3400,410,1410,1105,1070,1035,305,645,1590,830,1445,295,1250,600,130,270,330,740,550,2250,280,20210,121080
2377,          Interprovincial migrants,140,2100,235,1005,595,335,760,125,225,1470,365,980,130,545,385,40,105,185,350,175,1875,255,12375,30755
2378,        External migrants,980,4320,1035,1090,720,825,1570,700,810,2040,1155,1080,705,2080,620,365,315,240,1815,890,4095,750,28155,89845
2379,  Total - Mobility status 5 years ago for females - 25% sample data,8020,27075,10705,17180,14190,16690,23805,7225,14600,21990,11925,15740,6775,25205,11170,4030,3860,4475,17615,14965,21695,6575,304705,1184605
2380,    Non-movers,4470,9740,6905,7935,7520,10885,14115,4345,9350,10040,6640,5875,3920,15455,6615,2410,2120,2410,10680,9875,8225,3930,162935,666300
2381,    Movers,3550,17335,3800,9240,6670,5805,9690,2880,5255,11950,5285,9865,2860,9750,4550,1615,1740,2070,6940,5085,13465,2645,141765,518305
2382,      Non-migrants,1795,8130,1910,4965,4120,3500,6245,1615,3285,5855,2825,5990,1655,5640,2790,990,985,1405,4275,3365,5725,1315,78215,264940
2383,      Migrants,1760,9205,1885,4275,2545,2310,3445,1260,1965,6095,2460,3880,1200,4105,1765,625,755,660,2660,1725,7740,1330,63555,253355
2384,        Internal migrants,550,5000,770,3030,1840,1380,1890,435,1040,3825,1185,2700,445,1840,1075,195,485,435,975,725,3900,570,34205,157205
2385,          Intraprovincial migrants,365,3010,470,1760,1075,1065,1150,270,780,2000,820,1520,320,1375,665,135,330,285,760,590,2085,300,21050,125765
2386,          Interprovincial migrants,180,1990,300,1265,770,320,740,165,255,1825,365,1180,125,470,410,55,155,150,220,135,1810,270,13155,31440
2387,        External migrants,1210,4200,1120,1250,705,920,1555,825,930,2270,1275,1180,755,2260,685,430,270,230,1685,1000,3845,760,29350,96155
,,,,,,,,,,,,,,,,,,,,,,,,,
2388,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 25% sample data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.1,99.9,100,100,100,100,100,100
2389,  Market income (%),93.2,95.8,95.5,94.4,90.4,87.6,89.1,95.1,88.3,95.2,90.6,95,91,87.3,93,97.2,94.9,78.1,87.4,86.3,92.8,95.2,92.5,90.9
2390,    Employment income (%),57.9,77.8,63.7,73,80.9,76.8,79.7,55.6,75.7,75.4,74.6,85.1,57.6,77.8,76.1,54.9,68.5,70.8,77.8,72.8,78.6,58,73.7,74
2391,  Government transfers (%),6.8,4.2,4.5,5.6,9.6,12.4,10.9,5,11.7,4.8,9.4,5,9,12.7,7,2.8,5.2,21.8,12.6,13.7,7.2,4.8,7.5,9.1
2392,  Composition of total income in 2015 of males aged 15 years and over in private households (%) - 25% sample data,100,100,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100.2,99.9,100,100,100,100,100,100
2393,    Market income (%),95.5,96.6,96.7,96,92.4,90.5,92,96.5,91.8,96.4,92.8,96,93.4,90.7,94.8,98.2,96.5,79.8,90.9,89.4,94.3,96.8,94.4,93.5
2394,      Employment income (%),62.7,78.7,69.8,76.3,83.3,79.9,83,60.7,79.9,78.6,79.1,86.6,64.6,82,78.9,56.8,72.4,72.5,81.4,76.9,80.4,62.4,76.6,77.6
2395,    Government transfers (%),4.4,3.4,3.3,3.9,7.6,9.5,8,3.5,8.3,3.6,7.2,4,6.6,9.3,5.2,2,3.4,20.1,9.1,10.6,5.7,3.3,5.6,6.5
2396,  Composition of total income in 2015 of females aged 15 years and over in private households (%) - 25% sample data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9,100,100,100,100,100,100,100,100
2397,    Market income (%),89.9,94.4,93.7,92.6,88.2,84.2,85.8,93.2,84.5,93.9,88.2,93.8,88.6,83.2,90.8,95.2,92.8,76,83.2,82.8,90.8,92.7,89.9,87.3
2398,      Employment income (%),51.1,76.2,54.8,69.5,78.3,73.2,75.7,48.8,71.2,71.8,69.7,83.5,50.1,72.9,73,50.8,63.9,68.7,73.4,68.2,76,50.9,70,69.1
2399,    Government transfers (%),10.1,5.6,6.2,7.3,11.8,15.8,14.2,6.9,15.4,6.1,11.8,6.2,11.5,16.7,9.2,4.7,7.2,24,16.9,17.2,9.2,7.3,10.1,12.7
,,,,,,,,,,,,,,,,,,,,,,,,,
2400,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,2495,23005,2445,12060,10195,5905,8765,2135,3550,14955,5795,11785,2020,8965,4380,1020,1605,4280,4840,3440,23300,2590,159335,392915
2401,  Average total income in 2015 for persons aged 15 years and over not in economic families ($),52555,56423,49217,57736,38280,34875,33798,70457,38808,53595,34944,49304,42421,32060,42067,65870,55693,25875,29578,33360,44261,56049,45574,43593
2402,  Median total income in 2015 for persons aged 15 years and over not in economic families ($),32644,38205,26620,45686,30197,24087,26883,31909,30499,39153,28110,38667,26427,24169,33338,31969,40930,17149,22505,24176,35858,28058,32213,32391
2403,  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),43330,44858,39808,47118,32562,29818,29384,52957,33161,43648,30263,40665,34453,27910,35250,50887,45236,22802,26050,28846,37122,44143,37678,36392
2404,  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),30385,34028,25200,39814,27177,22917,24810,28881,28291,34679,26122,33989,24726,23194,29712,29296,35525,17142,21853,23092,31908,25897,29068,29222
2405,  Total - Income statistics in 2015 for males aged 15 years and over not in economic families in private households - 25% sample data,865,12895,995,4655,5100,3095,4455,790,1490,6420,2875,5755,755,4390,2025,425,670,2520,2530,1580,12385,1155,77730,188815
2406,    Average total income in 2015 for males aged 15 years and over not in economic families ($),43137,60374,55795,65314,40006,36670,34166,59551,43199,55602,33971,50915,42154,33836,42005,57805,63424,26189,31733,36500,47424,68697,47649,46216
2407,    Median total income in 2015 for males aged 15 years and over not in economic families ($),28168,40199,23412,48110,30644,25735,27698,26836,36284,38544,26332,37292,26957,27007,30939,30303,40609,16856,23760,25318,37192,26108,32491,33806
2408,    Average after-tax income in 2015 for males aged 15 years and over not in economic families ($),36052,47542,44270,51991,33450,31101,29583,46787,36143,44504,29400,41543,34894,29124,35112,46096,49286,23374,27531,30732,39161,52375,38938,38096
2409,    Median after-tax income in 2015 for males aged 15 years and over not in economic families ($),25914,35613,23284,41493,27866,24008,25395,23618,32107,33968,24892,33114,26222,24931,28025,25955,34696,16838,22736,23947,32911,25718,29332,30235
2410,  Total - Income statistics in 2015 for females aged 15 years and over not in economic families in private households - 25% sample data,1630,10115,1450,7405,5100,2810,4310,1345,2060,8530,2920,6025,1270,4575,2355,595,935,1760,2305,1860,10920,1435,81605,204100
2411,    Average total income in 2015 for females aged 15 years and over not in economic families ($),57545,51386,44714,52974,36553,32899,33416,76859,35644,52084,35903,47765,42579,30355,42121,71656,50142,25427,27216,30698,40675,45868,43597,41167
2412,    Median total income in 2015 for females aged 15 years and over not in economic families ($),36638,35927,29478,44286,29734,22756,25897,34753,25837,39831,30053,39222,26162,22303,35292,32594,42901,17237,21756,23011,34179,28573,31890,31278
2413,    Average after-tax income in 2015 for females aged 15 years and over not in economic families ($),47185,41436,36754,44055,31674,28407,29177,56580,31011,43003,31113,39826,34190,26744,35369,54324,42329,21984,24427,27247,34811,37517,36477,34815
2414,    Median after-tax income in 2015 for females aged 15 years and over not in economic families ($),32647,31991,27321,39126,26747,21919,24464,31317,24496,35017,26955,34598,24272,21700,31907,29883,37052,17225,21119,22546,30818,25956,28888,28402
,,,,,,,,,,,,,,,,,,,,,,,,,
2415,Total - Economic family income decile group for the population in private households - 25% sample data,15075,58855,21285,32725,29000,34115,48870,13895,28935,42755,24135,32230,13025,51220,22365,7990,7565,9860,36080,30235,46720,12925,618210,2426235
2416,  In the bottom half of the distribution,7530,27545,7920,13290,16255,18415,26220,6270,15345,17540,13965,14430,7090,29740,9100,2855,2880,7395,20340,16665,26115,5205,311200,1174690
2417,    In bottom decile,2975,11690,3085,3795,5010,4040,5810,2315,3635,5840,4545,4225,2700,6855,2165,995,785,3765,4405,3540,8650,2315,92845,302025
2418,    In second decile,1410,4965,1290,2310,3285,4370,5680,1320,3190,2940,2980,2905,1625,6520,1855,565,650,1985,4120,3715,5275,825,63625,229560
2419,    In third decile,1150,3930,1230,2145,2875,3265,5195,945,2810,2860,2020,2720,1055,5800,1605,520,475,735,4625,3585,4155,695,54245,209635
2420,    In fourth decile,1005,3280,1275,2190,2500,3425,4785,825,3085,3100,2355,2440,775,5740,1785,460,500,450,3725,3175,3750,750,51240,213615
2421,    In fifth decile,990,3680,1040,2855,2585,3320,4750,875,2625,2800,2065,2140,940,4820,1690,310,465,460,3460,2650,4290,625,49245,219855
2422,  In the top half of the distribution,7545,31310,13370,19430,12750,15695,22650,7625,13590,25215,10170,17805,5935,21480,13270,5135,4685,2460,15740,13575,20605,7725,307010,1251545
2423,    In sixth decile,1005,3740,1305,2755,2775,3200,4720,850,2615,3165,2005,2725,855,5450,1850,300,490,440,3760,2605,4230,875,51590,226335
2424,    In seventh decile,985,4105,1040,2870,2285,3095,4300,770,2785,3765,2270,2880,910,5195,2145,515,525,400,3365,3040,3860,770,51790,231655
2425,    In eighth decile,925,5160,1705,3520,2225,3485,4550,800,2820,4020,1945,3490,820,4170,2355,555,825,500,3220,2985,4360,910,55220,246055
2426,    In ninth decile,1425,6850,2470,4295,2755,3420,5025,1210,2860,5105,1885,3845,1220,4145,2870,855,1150,545,3000,2725,3675,1350,62500,262095
2427,    In top decile,3200,11455,6855,5995,2700,2500,4055,3995,2520,9155,2065,4865,2135,2515,4045,2915,1690,580,2390,2220,4480,3815,85915,285405
2428,  Total - Economic family income decile group for males in private households - 25% sample data,6840,30855,10295,14910,14150,16695,23835,6475,13665,19950,11775,15710,5985,24985,10700,3845,3545,5210,17715,14660,24525,6150,301665,1185405
2429,    In the bottom half of the distribution,3305,14025,3705,5595,7965,8830,12615,2835,7025,7815,6920,6900,3220,14165,4335,1315,1310,3985,9915,7875,13275,2355,148825,559510
2430,      In bottom decile,1285,6040,1455,1590,2530,1930,2860,1025,1615,2695,2175,2070,1265,3190,1015,435,365,2060,2160,1645,4590,1055,44890,144290
2431,      In second decile,615,2515,590,920,1450,2045,2695,650,1370,1280,1510,1405,675,2940,870,255,310,1070,1975,1670,2545,365,29645,105450
2432,      In third decile,510,1955,580,915,1450,1585,2440,400,1365,1310,1005,1345,485,2860,815,260,225,410,2210,1705,2010,295,26075,100300
2433,      In fourth decile,480,1700,585,925,1185,1650,2275,360,1445,1350,1190,1135,350,2785,790,220,200,225,1830,1520,1940,340,24405,102455
2434,      In fifth decile,415,1815,495,1250,1350,1620,2350,405,1230,1185,1035,945,435,2395,845,145,195,225,1730,1340,2185,300,23810,107010
2435,    In the top half of the distribution,3535,16830,6595,9315,6190,7865,11220,3635,6635,12130,4850,8805,2770,10825,6370,2530,2240,1220,7795,6785,11255,3795,152840,625890
2436,      In sixth decile,470,1950,620,1215,1285,1555,2295,370,1220,1430,940,1325,370,2630,885,165,230,225,1875,1305,2110,410,24820,109880
2437,      In seventh decile,465,2140,495,1350,1105,1610,2205,355,1385,1840,1060,1385,375,2605,1030,270,225,185,1660,1565,2045,345,25650,115365
2438,      In eighth decile,425,2705,825,1640,1120,1715,2315,370,1370,1910,860,1740,395,2135,1080,240,375,230,1545,1485,2355,420,27185,122565
2439,      In ninth decile,655,3715,1180,2070,1315,1735,2445,585,1400,2455,1005,1880,580,2175,1430,425,550,290,1525,1355,2075,675,31440,132300
2440,      In top decile,1520,6315,3470,3040,1365,1250,1960,1965,1265,4500,990,2470,1045,1280,1945,1435,860,290,1185,1075,2665,1945,43735,145785
2441,  Total - Economic family income decile group for females in private households - 25% sample data,8235,28000,10990,17810,14850,17420,25035,7420,15270,22805,12365,16525,7035,26240,11665,4145,4020,4655,18365,15575,22195,6775,316545,1240835
2442,    In the bottom half of the distribution,4225,13515,4215,7695,8290,9585,13605,3435,8320,9720,7045,7525,3870,15580,4765,1540,1575,3410,10420,8780,12845,2845,162375,615180
2443,      In bottom decile,1685,5650,1630,2205,2480,2105,2950,1285,2020,3150,2370,2160,1435,3675,1150,560,425,1710,2240,1890,4060,1260,47950,157730
2444,      In second decile,795,2455,695,1395,1835,2325,2990,675,1820,1660,1465,1500,950,3580,985,310,335,915,2145,2045,2725,460,33980,124110
2445,      In third decile,645,1975,650,1235,1425,1685,2755,545,1440,1550,1010,1375,570,2940,790,260,250,330,2420,1880,2140,395,28170,109335
2446,      In fourth decile,520,1580,690,1260,1315,1775,2510,465,1640,1755,1165,1295,420,2960,995,240,295,225,1890,1655,1815,410,26835,111160
2447,      In fifth decile,575,1860,545,1605,1240,1700,2400,465,1395,1605,1030,1195,505,2425,840,165,270,230,1730,1310,2100,325,25435,112840
2448,    In the top half of the distribution,4010,14485,6780,10115,6560,7830,11435,3985,6950,13080,5315,9000,3165,10660,6905,2605,2445,1240,7940,6790,9350,3930,154170,625655
2449,      In sixth decile,540,1790,680,1545,1490,1645,2425,480,1395,1735,1070,1395,480,2825,960,135,265,215,1885,1300,2120,470,26770,116455
2450,      In seventh decile,530,1960,545,1515,1180,1485,2095,415,1395,1935,1210,1495,530,2590,1115,245,305,220,1705,1475,1815,420,26135,116295
2451,      In eighth decile,500,2460,885,1880,1110,1770,2235,435,1445,2110,1085,1755,425,2035,1275,310,450,270,1680,1505,2000,490,28035,123495
2452,      In ninth decile,770,3135,1290,2225,1440,1690,2580,630,1465,2645,880,1965,640,1975,1445,425,600,255,1470,1370,1600,680,31055,129795
2453,      In top decile,1680,5140,3380,2950,1340,1250,2095,2035,1255,4655,1070,2390,1085,1235,2100,1480,830,285,1205,1140,1815,1875,42180,139620
,,,,,,,,,,,,,,,,,,,,,,,,,
2454,"In low income based on the Low-income measure, after-tax (LIM-AT)",3680,13995,3120,4800,5950,5755,7230,3055,4925,6280,5955,5070,3415,8995,2520,1240,990,4905,5765,5140,10870,2375,116035,398855
2455,  0 to 17 years,795,1055,790,480,740,1120,1400,655,1225,600,895,450,635,1475,285,265,120,580,1380,990,560,450,16940,82860
2456,    0 to 5 years,105,450,120,135,210,305,430,145,450,250,290,180,185,455,90,75,35,135,335,245,205,110,4940,24145
2457,  18 to 64 years,2425,11060,2150,3660,4025,3505,4560,2025,2810,4940,4315,3845,2160,5885,1670,825,695,2700,3590,3155,8570,1660,80230,256565
2458,  65 years and over,455,1880,185,670,1185,1135,1270,370,890,735,745,780,620,1630,570,150,170,1620,800,990,1745,265,18865,59435
,,,,,,,,,,,,,,,,,,,,,,,,,
2459,Average weeks worked in reference year for the total population who worked during the reference year,40.3,43.3,39.7,43.5,42.4,41.9,42.2,40.1,42.4,42.6,41.1,44.3,40.6,41.7,42.6,41.2,42.2,41.5,41.3,41.2,42.9,39.4,42.2,42.2
2460,  Average weeks worked in reference year for males who worked during the reference year,40.7,44.1,40.3,44.3,42.6,42.4,42.7,40.8,42.9,43.3,41.6,44.7,41.3,42.2,43.1,41.9,43.2,41.6,42.2,41.7,43.5,40.3,42.8,43
2461,  Average weeks worked in reference year for females who worked during the reference year,39.9,42.4,39,42.9,42.2,41.3,41.6,39.4,41.8,42,40.5,44,39.9,41.1,42.2,40.4,41.3,41.4,40.3,40.7,42.2,38.4,41.6,41.3
,,,,,,,,,,,,,,,,,,,,,,,,,
2462,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,6320,37770,9590,21635,18115,17760,27225,5910,14575,27350,12450,22760,5405,27430,12555,3760,4120,4145,19110,15080,31765,6065,350145,1276900
2463,  Worked at home,1000,4215,1570,2225,1575,1095,1440,925,700,3300,1010,1910,865,1245,1185,775,475,375,835,790,2765,1060,31200,104865
2464,  Worked outside Canada,310,555,290,155,55,55,120,210,160,220,255,115,175,115,60,130,30,25,90,130,220,145,3615,12825
2465,  No fixed workplace address,550,3250,860,1900,2630,2445,3285,515,1715,2790,1355,2435,535,3285,1520,315,420,535,3180,2010,3065,535,39035,169325
2466,  Worked at usual place,4460,29740,6870,17350,13860,14160,22385,4265,11995,21040,9835,18295,3825,22790,9785,2550,3200,3210,15000,12145,25715,4325,276290,989890
2467,  Total - Place of work status for the male employed labour force aged 15 years and over in private households - 25% sample data,3225,20730,4955,10225,9000,9005,13780,3085,7255,13080,6470,11150,2760,14140,6135,1985,2040,2195,9985,7815,17375,3100,179145,663790
2468,    Worked at home,470,2430,765,1070,810,570,730,405,350,1735,550,1025,465,650,580,330,230,195,455,445,1595,525,16300,52660
2469,    Worked outside Canada,240,375,200,70,30,30,85,150,95,115,175,90,145,75,25,105,15,10,60,110,135,110,2445,9110
2470,    No fixed workplace address,345,2055,570,1165,1870,1720,2320,365,1215,1725,915,1605,295,2270,1010,210,285,335,2210,1425,2155,320,26335,123640
2471,    Worked at usual place,2170,15865,3415,7920,6295,6685,10645,2165,5600,9505,4825,8430,1860,11145,4525,1345,1505,1655,7265,5840,13490,2145,134065,478375
2472,  Total - Place of work status for the female employed labour force aged 15 years and over in private households - 25% sample data,3095,17040,4640,11410,9115,8755,13450,2825,7315,14270,5980,11605,2640,13285,6415,1770,2085,1950,9125,7265,14390,2965,171000,613115
2473,    Worked at home,525,1785,800,1155,760,530,715,525,355,1565,455,890,405,595,605,445,240,175,385,350,1175,535,14900,52205
2474,    Worked outside Canada,70,180,85,90,30,25,40,60,60,110,75,20,30,35,35,25,10,20,35,20,80,35,1170,3715
2475,    No fixed workplace address,210,1195,290,735,755,725,960,145,500,1060,440,835,240,1015,510,105,135,200,970,585,910,210,12705,45680
2476,    Worked at usual place,2285,13875,3450,9430,7565,7475,11735,2100,6400,11535,5010,9860,1975,11645,5265,1205,1700,1555,7740,6305,12230,2180,142225,511520
,,,,,,,,,,,,,,,,,,,,,,,,,
2477,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,5010,32995,7730,19255,16490,16605,25665,4775,13715,23825,11190,20735,4365,26070,11305,2855,3620,3750,18185,14155,28780,4855,315330,1159210
2478,  Less than 15 minutes,950,9360,1470,4125,2410,2205,2785,800,1340,4405,1520,3545,665,2630,1605,610,715,910,2190,1490,5575,890,51975,207755
2479,  15 to 29 minutes,2030,13280,3250,7985,6795,6070,10200,1970,4935,9935,3950,9040,1910,9030,4855,1260,1590,1280,6305,5365,11790,1985,124645,375370
2480,  30 to 44 minutes,1470,6770,1970,4900,4525,5320,8230,1425,4620,6375,3455,5485,1200,9425,3295,660,860,985,5610,4455,6710,1350,88980,306130
2481,  45 to 59 minutes,330,2245,605,1505,1655,1670,2780,385,1680,1925,1380,1860,415,2925,1000,195,240,325,2375,1640,2870,385,30335,139550
2482,  60 minutes and over,225,1345,440,740,1105,1350,1660,200,1140,1190,880,805,165,2065,550,130,215,255,1705,1195,1840,250,19380,130400
2483,  Total - Commuting duration for the male employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,2515,17925,3990,9090,8160,8405,12965,2530,6810,11230,5740,10040,2155,13415,5535,1550,1790,1990,9475,7260,15645,2470,160400,602015
2484,    Less than 15 minutes,410,5225,610,1825,1225,1035,1290,380,555,1945,795,1750,290,1280,705,295,285,515,1130,785,3090,385,25720,93360
2485,    15 to 29 minutes,1110,7130,1775,3885,3355,3085,5415,1145,2580,4720,2030,4295,955,4820,2370,715,830,645,3375,3010,6445,1075,64670,191570
2486,    30 to 44 minutes,715,3665,1050,2260,2250,2795,4175,745,2455,3050,1790,2705,615,4990,1660,350,445,540,3030,2255,3570,675,45750,169105
2487,    45 to 59 minutes,175,1170,340,780,775,855,1325,175,750,940,690,900,195,1325,485,120,115,140,1135,680,1510,210,14765,76570
2488,    60 minutes and over,105,740,210,330,555,640,760,85,465,570,445,390,105,1000,315,85,110,150,810,530,1030,120,9500,71410
2489,  Total - Commuting duration for the female employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,2495,15070,3745,10165,8325,8205,12695,2250,6905,12595,5450,10695,2210,12660,5775,1300,1835,1760,8710,6895,13140,2395,154930,557200
2490,    Less than 15 minutes,545,4140,855,2300,1180,1170,1495,425,780,2455,725,1795,375,1345,905,315,430,395,1055,705,2480,505,26260,114400
2491,    15 to 29 minutes,920,6145,1475,4100,3445,2980,4785,825,2355,5210,1920,4750,960,4210,2490,550,760,635,2930,2360,5345,910,59975,183805
2492,    30 to 44 minutes,760,3105,920,2635,2280,2520,4055,680,2165,3325,1670,2775,585,4440,1635,315,415,440,2580,2195,3140,670,43240,137025
2493,    45 to 59 minutes,155,1075,265,725,875,815,1460,210,930,980,695,955,220,1595,510,75,120,180,1240,960,1365,170,15575,62975
2494,    60 minutes and over,115,610,230,410,550,710,905,110,675,620,440,415,65,1070,235,50,105,105,900,670,805,130,9885,58995
,,,,,,,,,,,,,,,,,,,,,,,,,
2495,Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,5010,32995,7730,19260,16490,16610,25665,4775,13710,23825,11190,20735,4365,26070,11305,2860,3620,3745,18185,14160,28785,4855,315325,1159215
2496,  Between 5 a.m. and 5:59 a.m.,75,835,165,505,660,880,1075,110,560,605,425,645,165,1400,320,85,130,160,1005,680,915,125,11510,75910
2497,  Between 6 a.m. and 6:59 a.m.,470,2915,780,2135,2230,2260,3445,395,2135,2500,1365,2290,375,3630,1250,275,415,370,2615,1915,3205,495,37375,182840
2498,  Between 7 a.m. and 7:59 a.m.,1095,7685,1740,5170,3760,4115,6015,1150,3365,6180,2380,4950,935,5745,2720,595,865,785,3845,2890,6600,1060,73520,282185
2499,  Between 8 a.m. and 8:59 a.m.,1470,11290,2600,5950,4495,4000,6240,1560,3240,7685,2810,6630,1230,5830,3475,835,1155,1000,3860,3315,8530,1440,88405,260325
2500,  Between 9 a.m. and 11:59 a.m.,1235,6770,1705,3550,2985,2965,4615,1085,2385,4130,2350,3825,1130,4845,2155,780,655,830,2805,2855,5270,1125,59960,183650
2501,  Between 12 p.m. and 4:59 a.m.,670,3500,735,1940,2365,2390,4275,480,2030,2730,1860,2395,530,4620,1390,295,390,600,4050,2500,4270,610,44560,174305
2502,  Total - Time leaving for work for the male employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,2515,17925,3985,9090,8165,8410,12970,2530,6810,11235,5740,10040,2155,13415,5535,1555,1785,1985,9475,7265,15650,2465,160395,602015
2503,    Between 5 a.m. and 5:59 a.m.,45,535,130,295,425,515,615,85,345,390,265,420,120,800,190,60,65,120,650,380,550,105,7090,52030
2504,    Between 6 a.m. and 6:59 a.m.,270,1810,515,1140,1355,1405,2025,245,1090,1500,820,1330,205,2105,735,205,225,245,1365,1080,1950,305,21860,110300
2505,    Between 7 a.m. and 7:59 a.m.,525,4060,925,2410,1925,2060,2980,640,1625,2790,1155,2345,415,2745,1340,350,425,440,1985,1440,3515,525,36570,141805
2506,    Between 8 a.m. and 8:59 a.m.,745,5915,1265,2645,1935,1875,2955,750,1455,3370,1380,2875,660,2765,1550,435,580,455,1935,1550,4345,680,42030,120850
